# Non-merge commits touching src/mgr/MgrClient.cc and/or src/mgr/MgrClient.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
e19d4a0118f4e640d756bb76e854da9570adbe56 2017-02-26 Sage Weil | mgr/MgrClient: resend pending commands on reconnect
ecbcd591b785009e8a28a41125868024d86c112d 2017-02-22 Chang Liu | mgr: add override in headers
4d1989dc229a7f0a5f83ff1faf9d766c20ab73a8 2017-02-28 Kefu Chai | mgr/MgrClient: use unique_ptr for MgrClient::session
624bdbcf3afe304ad043baca43d46bfda2746e78 2016-11-09 John Spray | mgr: remove unnecessary C_StdFunction
f7a9a6f656bb271a6c5c816dd871a9f2df0278b0 2016-10-03 Sage Weil | mgr/MgrClient: implement con reset handling
848ee05932bd43da6364dea5a9afb4fd9416929a 2016-10-03 Sage Weil | mgr/MgrClient: fix ms_handle_reset
58dd3db0be62f67aa51f78357ceabb0979ccf6e1 2016-09-20 John Spray | mgr: update for Dispatcher::ms_handle_refused
2210772ed87ca281a60549ec40b1a1abe271d6e7 2016-09-19 John Spray | common: refactor CommandTable
8db0137dc390790175e6f2a9073eda822ce4179c 2016-08-08 John Spray | mgrc: less vebose logging of messages
c38d4915a98a2e096c85a4e379fb90c67bff0d80 2016-08-04 John Spray | mgrc: mark down connections with dead sessions
ea46778e3681e5ed6b322f68ab40747b2e052433 2016-07-31 John Spray | mgr: expose "df" to python modules
803b66a3b48231f9ed1eff2df15df95c9850eba4 2016-07-31 John Spray | mgrc: enable sending pgstats
e3104862b84eb4e2971c0dab3fb0b7389e0e43fa 2016-07-26 John Spray | mgrc: fix report sending after failover
1643a7fc607477f1c554c17811e64f490a8ec752 2016-07-15 John Spray | mgrc: reset send_report timer on session change
7845f8d757adf63390d6cb0ff56afbc088bc508b 2016-07-15 John Spray | mgr: flesh out standby/HA
88442d2391ad58f95eb6b9f1529d8652e88ba42d 2016-06-30 John Spray | mgrc: create MgrClient
