# Non-merge commits touching src/mgr/DaemonServer.cc and/or src/mgr/DaemonServer.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
4878509652ab2ef7df1d35a8269e9265c6d71204 2019-09-04 Sage Weil | mgr: accept MMgrCommand[Reply] messages (in addition to MCommand[Reply])
39f15bb2bed35dda91b1b94c26b23c8951fedac5 2019-09-03 Xie Xingguo | mgr/DaemonServer: skip adjusting pgp_num when merging is in-progress
3e65551d0ab4acafaf4012601987b3391b2411ed 2019-08-25 Kefu Chai | mgr/ServiceMap: use plain gid
5d3c1856415f8b66e31361a0a7b9c75edc46e49e 2019-07-09 David Zafman | mgr: Add "dump_osd_network" mgr admin request to get a sorted report
5c25a018643b10aa78db8270cae1476f71d8f4f4 2019-07-02 Venky Shankar | mgr, mon: allow normal ceph services to register with manager
c93dc8849145c1630058e4c0e527f404929216ff 2019-07-07 Kefu Chai | mgr: s/Mutex/ceph::mutex/
ca830c95a6f795393c19ab391b8b55837d88ce8c 2019-07-25 Sebastian Wagner | mgr: Reduce logging noise when handling commands
dffce107fb68e21cd85938d67115bdafe4e697eb 2019-07-22 Sebastian Wagner | mgr: cleanup idle debug log at level 4.
ec27a162def53fc4fbef02076a1070e9cef4a421 2019-06-18 Xie Xingguo | mgr, osd: 'ceph osd df' by pool
4c90cee20473aa51c04731f4ef2d286b2a2abf44 2019-06-18 Xie Xingguo | osd/OSDMap: pass filter directly to the OSDUtilizationDumper
ba8dd78236eec2c70b9bdc335d847c5762d4b6d4 2019-05-05 Xie Xingguo | mgr/DaemonServer: safe-to-destroy - do not consider irrelevant pgs
df771861f1b9fbb1e1e5a60e4afddadff5b67c69 2019-04-29 Kefu Chai | src/: define ceph_release_t and use it
e5968ec38a4402cdb63210c3255833259f251fb1 2019-04-30 Kefu Chai | mgr/DaemonServer: add a coefficient to improve the readability
14aacd2d19f7e3ede0949dcfeae07f4770e05545 2019-04-30 Kefu Chai | mgr/DaemonServer: refactor pgp_num changes throttling
a0d63c1a1fc673f094bb309635e98ab4c11354e9 2019-04-29 Sage Weil | mgr/DaemonServer: Fix pgp_num throttling min
c7c2d18da5058ffbe1f71e66a8d4c1dcfd8eacdb 2019-04-29 Sage Weil | mgr/DaemonServer: allow pgp_num increases to be fast if pool is empty(ish)
e6113c172523906ee2f5a317ddb358e215d0a448 2019-04-29 Sage Weil | mgr: fix pgp_num vs merge pacer
69eaaaadd00f190f3013abbf8c713b47c0b3e7bc 2019-04-17 David Zafman | mon, mgr: Improve PG count by changing up to up_no_acting in pg_count
9750061d5d4236aaba156d60790e0b8bcd7cfb64 2019-04-13 David Zafman | mgr: Improve ok-to-stop by using the avail_no_missing for recovery
97f3b7c2e93f72223ae2c9a904e38bbb30e275da 2019-04-17 David Zafman | mgr: If the requested OSD is down don't trust osd_stat info
91c6016dd9e0c6997ca0e8b7f946864d66987bec 2019-04-12 Sage Weil | msg: remove old ms_* auth methods from Dispatcher interface
868b47e65a051daa942622b106f08fca2afa9918 2019-04-14 Kefu Chai | src/: use make_message<Foo> instead of Foo::create()
9b6aa95ff4013e3f09f92f5dae5b6ca85403ffc8 2019-04-15 Kefu Chai | mgr/DaemonState: pass const by reference
a075639ce746fe12cde1a3df8ad7b13c3fd9baf6 2019-04-15 Kefu Chai | mgr/DaemonServer: use ref_t<M>
76503a1438fa1f166d2c230c73ca8d7b67e6468d 2019-04-09 Sage Weil | mgr/DaemonServer: prevent pgp_num reductions from outpacing pg_num merges
a929a5a01508e661fc7f3cea52822320d39983d2 2019-03-26 Xie Xingguo | mgr/DaemonServer: handle_conf_change - fix broken locking
e4a3475574dcc541dab58ac363b8b15368b5fefc 2019-03-12 Xie Xingguo | mgr/DaemonServer: handle caps more carefully
af02d1031d58826464b5defc40026be2d7419aa8 2019-03-05 Xie Xingguo | mgr: 'osd df' by specified class or (crush) name
fa98f096747c1f4b1f19511eb5d0babd6944c6db 2019-02-20 Xie Xingguo | mgr: add per pool force-recovery/backfill commands
97d55fd1134f4a68dbdbf76b9200ccdd7d748879 2019-02-20 Xie Xingguo | mgr: add per pool scrub commands
10522b9d92790d06eb79f050b087a3cdb7e6748d 2019-01-30 Sage Weil | mgr/DaemonServer: use a luminous-compatible 'mgr metadata' command
5ac9e85a213017322e0fbdc604a9fc26f157a815 2019-01-25 Volker Theile | mgr: Improve ActivePyModules::get_typed_config implementation
08d1a6fc3c57ccbeb6dff8fce1aae429edca97f3 2019-02-05 Sage Weil | mgr: send progress events to mon
1d29722f801ccdfe9c4080df2f2e79ddd4379c20 2019-01-21 Sage Weil | switch monc, daemons to use new msgr2 auth frame exchange
fa7c83f6dcdb318b8a06c47cda8a367b865f6778 2019-01-21 Sage Weil | osd,mgr,mds: remove unused authorize registries
f64a69e5054fb319e9f717bbcb7ddd8541e01c6f 2019-01-23 Neha Ojha | mgr/DaemonServer: log pgmap usage to cluster log
e62f45d1baa976bc64525ecb3bb49b777d6a0990 2019-01-16 Sage Weil | msg/Dispatcher: remove force_new arg from ms_get_authorizer()
430ba5e231d6929a004a9758d31b426ecbe43951 2018-12-30 Xinying Song | mgr: request mon metadata when receiving a report msg from an unknown monitor
3ce61e40fa7dfe21b8966879528bc76256a60118 2019-01-08 Xie Xingguo | osd, mgr, mds: make timeout of updating rotating keys configurable
4518c4052525624da7a4a2657fa5fc8c19a8819a 2018-12-19 Xie Xingguo | mgr/DaemonServer: merge pg upmap check into status check too
3f945585e96ea7c14fdc2fe640d4f56602973455 2018-12-18 Xie Xingguo | mgr/DaemonServer: allow merge only if merge participants are active+clean
515c0fa0f8254e445ef28b11fcc9938219f29c34 2018-12-18 Xie Xingguo | mgr/DaemonServer: *merge* pg-merge source and target status check
9545a15b07455e81474c414a0fd02c55d0ac2e85 2018-12-18 Xie Xingguo | mgr/DaemonServer: cancel upmap for merge source and target simultaneously
b1f12671184a8da25c1b0059f23bf366483e395f 2018-11-23 Mykola Golub | mgr: add limit param to osd perf query
8010d919603f2631637f85bef600bf926ca436fc 2018-11-29 Kefu Chai | mgr: don't write to output if EOPNOTSUPP
8a65b2a76d6c9f13a9d2ca2d68361686f0306696 2018-11-28 Mykola Golub | mgr/DaemonState: fix get_config_defaults locking
b8362d904a710c10ab72f15c78fdafc3ff21f020 2018-11-14 Mykola Golub | mgr: make dynamic osd perf counters accessible from modules
e10cb8d2aefbc250f025cb0275698ddd1eb0a6aa 2018-11-15 Sage Weil | mgr/DaemonServer: use with_osdmap_and_pgmap instead of nested calls
a3a3eb5f84e9b616d4059f6be010ab7848ab6e35 2018-11-08 Sage Weil | mgr/DaemonServer: fix session leak
432f19435523d455ecd4f386e58ee1f033cf97e2 2018-10-29 Xie Xingguo | mgr/DaemonServer: add js-output for "ceph osd safe-to-destroy"
f495b8cce9014d3459f41691ad5eb7ca1fc9d153 2018-09-23 Mykola Golub | osd: collect client perf stats when query is enabled
98c2511334be591b04db0e325f75132b7538c2ef 2018-11-01 John Spray | mon: convert remaining confirmation flags to CephBool
