# Non-merge commits touching src/mgr/Mgr.cc and/or src/mgr/Mgr.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
b9182564c716fdfcb39cc77314ba295990dd4312 2016-11-16 Adam C. Emerson | dout: Use dout_context
61fca96c29104683da74c913cfbf4005ba95cf77 2016-11-21 Sage Weil | assert(0) -> ceph_abort()
624bdbcf3afe304ad043baca43d46bfda2746e78 2016-11-09 John Spray | mgr: remove unnecessary C_StdFunction
ce6b1909dd5579326dc331937c002078c3a1e55a 2016-10-09 Xie Xingguo | mgr: shutdown finisher in a graceful way
b4a4a7a89b2178b04816f3532da7bb1fe5d26f6b 2016-10-11 Ren Huanwen | mgr: mgr::init() return when connection daemons failed
1bb9edbaf27d026acbf3fcfb80bdbf7a34f00fce 2016-09-26 John Spray | mgr: fix OSDMap notifications
fa147e3a591a4d74a7a8692b17add420ffc9bf98 2016-07-31 John Spray | mgr: handle PGStats with a PGMap
9501bfdd711499c1314a3495549da24fbc02257e 2016-07-26 John Spray | mgr: store some counter history
fd537bc696d65ce3baec88ecf5a825f7eaaaf484 2016-07-16 John Spray | mgr: enable active daemon to return to standby
7845f8d757adf63390d6cb0ff56afbc088bc508b 2016-07-15 John Spray | mgr: flesh out standby/HA
c81e542b32815effe9d107da378e6010e8a0b415 2016-07-04 John Spray | mgr: enable multiple python modules
d9dfb436ea588a43be135a0808b28039d9ca2546 2016-07-03 John Spray | mgr: s/DaemonMetadata/DaemonState/g
ac30e6cee2b2d3815438f1a392a951d511bddfd4 2016-06-30 John Spray | mgr: create ceph-mgr service
f7e9ff174f8f84b0b3ccada87f6e4b18bdc4d130 2014-03-25 John Spray | tools: Create cephfs-journal-tool
7a985df6339499052bb7bad2df214477e7e1580a 2014-02-12 John Spray | mds: Create MDSUtility as base for Dumper/Resetter
